account,date,classification,total_closedpnl,trades,win_rate,avg_pct_return,avg_score
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,Greed,-175611.00005600002,33,0.0,-0.14485935430067523,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,177,0.0,0.0,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,Greed,9482.221441,45,0.8,0.11304630986648279,74.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10,0.9,0.07446127541465544,60.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,Fear,101011.685664,839,0.30512514898688914,0.007463170283952609,26.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,641,0.8424336973478939,0.10619674297408695,33.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,Fear,375620.270243,531,0.15630885122410546,0.04076124073219909,44.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,Greed,44400.9058,210,0.37142857142857144,0.011335226707242805,67.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,Greed,0.0,1,0.0,0.0,71.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,Greed,0.0,34,0.0,0.0,72.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,Fear,3515.031065,26,0.9615384615384616,0.06496144646639815,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,Fear,0.0,46,0.0,0.0,31.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,Neutral,2517.787385,64,0.984375,0.04569123200527136,49.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,Greed,1162.002541,78,0.32051282051282054,0.004411133060184314,70.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,Greed,1243.853569,250,0.324,0.003937155497819091,72.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,6352.452613,517,0.4506769825918762,0.007734141682525667,60.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,2480.902379,110,0.45454545454545453,0.007652052701206748,33.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,0.0,1,0.0,0.0,15.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,-3169.3554679999997,65,0.0,-0.008697375159600474,25.0
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,Greed,208.81746,4,0.75,0.001983509112136703,56.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,Greed,4458.25495,193,0.5025906735751295,0.205514637456862,71.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,Greed,1283.846047,140,0.5214285714285715,0.10594728817284853,70.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,Extreme Greed,1190.358719,78,0.47435897435897434,0.151880413897587,81.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,Extreme Greed,9066.169646,112,0.5357142857142857,0.2544792828017386,79.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,Greed,14685.787664,98,0.4897959183673469,0.3118717871091795,56.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,Greed,389.176232,69,0.2318840579710145,0.05404213706641301,72.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,Fear,4008.012049,86,0.4186046511627907,0.21094854434904062,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,Fear,554.009942,102,0.4215686274509804,0.08709012631358527,25.0
